raw_llm_output,parsed_action,observation,env,episode,step,model,buffer_size
turn_left,turn_left,"Agent is at [1, 1] facing right. Goal is at [5, 5]. The path in front is clear. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,0,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing up. Goal is at [5, 5]. In front of you is a wall. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,1,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing left. Goal is at [5, 5]. In front of you is a wall. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,2,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing down. Goal is at [5, 5]. The path in front is clear. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,3,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing right. Goal is at [5, 5]. The path in front is clear. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,4,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing up. Goal is at [5, 5]. In front of you is a wall. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,5,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing left. Goal is at [5, 5]. In front of you is a wall. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,6,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing down. Goal is at [5, 5]. The path in front is clear. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,7,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing right. Goal is at [5, 5]. The path in front is clear. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,8,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing up. Goal is at [5, 5]. In front of you is a wall. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,9,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing left. Goal is at [5, 5]. In front of you is a wall. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,10,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing down. Goal is at [5, 5]. The path in front is clear. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,11,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing right. Goal is at [5, 5]. The path in front is clear. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,12,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing up. Goal is at [5, 5]. In front of you is a wall. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,13,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing left. Goal is at [5, 5]. In front of you is a wall. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,14,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing down. Goal is at [5, 5]. The path in front is clear. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,15,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing right. Goal is at [5, 5]. The path in front is clear. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,16,Qwen/Qwen2.5-3B-Instruct,2
turn_left,turn_left,"Agent is at [1, 1] facing up. Goal is at [5, 5]. In front of you is a wall. Nearby objects: red lava at [4, 1], red lava at [4, 2], red lava at [4, 3], red lava at [4, 5].",MiniGrid-LavaGapS7-v0,0,17,Qwen/Qwen2.5-3B-Instruct,2
